"Андрей","Петров","Игоревич","Сбербанк","+7 999 123-45-67","+7 999 123-45-66"
"Игорь","Игорев","Петрович","Яндекс","+7 958 444-55-66","+7 958 555-66-77"
"Петр","Андреев","Игоревич","HH","+7 955 666-77-88","+7 955 777-88-99"
"Валерий","Артюхов","Викторович","Альфа Банк","+7 911 222-33-44","+7 911 333-44-55"
"Виктор","Логинов","Эдуардович","Тинькофф","+7 977 777-88-99","+7 977 777-99-00"
"Ярослав","Петровских","Игоревич","","+7 905 763-66-72",""
"Эдуард","","","","+7 911 234-66-77",""
"Сергей","Дронов","Валерьевич","Локус","+7 969 888-22-11","+7 969 888-33-22"
"Иван","Иванов","Иванович","Иванов Корпорэйтед","+7 999 999-22-11","+7 999 999-11-22"
"Леонид","Никифоров","Сергеевич","Брусника","+7 988 981-32-21","+7 988 189-12-23"
"Гектор","Апполонов","Иванович","Стоматология","+7 911 234-56-78","+7 911 876-54-32"
